,News Source,Tweet Text,Tweet Date,Compound Score,Pos.score,Neg.score,Neu.score,Tweets ago
105,CBC News,RT @cbcnewsbc: B.C. cook brought in as temporary foreign worker wins \$32K in back pay https://t.co/tuQqjkzMAW https://t.co/c0McOYPRfY,Sun Jun 24 20:30:12 +0000 2018,0.5106,0.184,0.07,0.746,6
106,CBC News,"If you're considering a career in the cannabis business, now may be the time to take the plunge as licensed marijua… https://t.co/gOU3MOQXK1",Sun Jun 24 20:00:30 +0000 2018,0.0,0.0,0.0,1.0,7
107,CBC News,RT @CBCToronto: Toronto prepares for 1st Pride parade since Bruce McArthur's arrest https://t.co/dEW43f6t1J https://t.co/jWf8SLRgjM,Sun Jun 24 19:30:01 +0000 2018,0.0,0.143,0.143,0.714,8
108,CBC News,"RT @AdrianCheungCBC: They won’t be needing any water cannons on the floats today, it’s been pouring all day at #Pride #prideTO @CBCToronto…",Sun Jun 24 19:00:21 +0000 2018,0.0,0.0,0.0,1.0,9
109,CBC News,Building a solid foundation for new campers at P.E.I. National Park. https://t.co/a30NvDSzCD @CBCJRobertson,Sun Jun 24 18:30:08 +0000 2018,0.1531,0.127,0.0,0.873,10
110,CBC News,"RT @CBCSaskatoon: Where's Waldo the dog? At Saskatoon's Pride Parade, of course! https://t.co/Y0wU56Qd1B #yxe #yxepride",Sun Jun 24 18:00:11 +0000 2018,0.4003,0.161,0.0,0.839,11
111,CBC News,"The reserve stretches 1,400 square kilometres, more than Vancouver, Calgary and Montreal combined. The band believe… https://t.co/UoqrJ8F3n9",Sun Jun 24 17:30:16 +0000 2018,0.0,0.0,0.0,1.0,12
112,CBC News,RT @CBCNB: DFO closes another fishing area in northern N.B. after right whale sighting: https://t.co/SnvLbn5fcl https://t.co/fLIyOyQqjP,Sun Jun 24 17:00:07 +0000 2018,0.0,0.0,0.0,1.0,13
113,CBC News,"RT @cbcnewsbc: After many sleepless nights in Tokyo hotel rooms, five Canadian families will finally be able to return home with the Japane…",Sun Jun 24 16:30:24 +0000 2018,0.0,0.0,0.0,1.0,14
114,CBC News,"RT @checkupcbc: ""The recurrent use of [temp] agency nurses challenges the relationship of trust I might have with a nurse,"" Dr. John McDona…",Sun Jun 24 16:00:03 +0000 2018,0.5574,0.195,0.0,0.805,15
